ts,dpid,port_no,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate,tx_rate,drop_rate,err_rate
1762484280.6294634,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484280.6294634,3,1,9106864,9153024,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484280.6294634,3,2,9172248,9088178,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484280.6294634,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484280.6294634,2,1,53224,18197816,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484280.6294634,2,2,9159636,9119110,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484280.6294634,2,3,9088178,9172248,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484280.6294634,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484280.6294634,1,1,32634,18215526,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484280.6294634,1,2,9119110,9159636,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484280.6294634,1,3,9153024,9106864,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484281.629458,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484281.629458,3,1,9326888,9373166,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484281.629458,3,2,9391670,9307474,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484281.629458,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484281.629458,2,1,53838,18636606,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484281.629458,2,2,9378682,9338716,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484281.629458,2,3,9307474,9391670,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484281.629458,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484281.629458,1,1,32990,18653946,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484281.629458,1,2,9338716,9378682,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484281.629458,1,3,9373166,9326888,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484282.6294909,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484282.6294909,3,1,9326888,9373166,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484282.6294909,3,2,9391670,9307474,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484282.6294909,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
