ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,loss_pct,err_pct
1762799501.4950428,2,3,45846,46474,3931810,3986784,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799501.4950428,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799501.4950428,3,1,46086,46240,3952400,3966658,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799501.4950428,3,2,46474,45846,3986784,3931810,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799501.4950428,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799501.4950428,1,1,329,91811,28710,7876398,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799501.4950428,1,2,46066,46267,3951048,3968638,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799501.4950428,1,3,46240,46086,3966658,3952400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799502.4950314,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799502.4950314,2,1,382,97070,33688,8325976,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799502.4950314,2,2,48893,48683,4193428,4175154,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799502.4950314,2,3,48458,49104,4155432,4212040,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799502.4950314,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799502.4950314,1,1,338,97037,29496,8323906,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799502.4950314,1,2,48683,48893,4175154,4193428,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799502.4950314,1,3,48862,48708,4191214,4176908,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799502.4950314,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799502.4950314,3,1,48708,48862,4176908,4191214,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799502.4950314,3,2,49104,48458,4212040,4155432,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799503.495057,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799503.495057,2,1,382,97070,33688,8325976,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799503.495057,2,2,48893,48683,4193428,4175154,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799503.495057,2,3,48458,49104,4155432,4212040,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799503.495057,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799503.495057,1,1,338,97037,29496,8323906,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799503.495057,1,2,48683,48893,4175154,4193428,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799503.495057,1,3,48862,48708,4191214,4176908,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799503.495057,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799503.495057,3,1,48708,48862,4176908,4191214,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799503.495057,3,2,49104,48458,4212040,4155432,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799504.495051,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799504.495051,2,1,394,102279,34768,8772090,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799504.495051,2,2,51514,51295,4417870,4398870,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799504.495051,2,3,51067,51724,4378882,4436418,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799504.495051,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799504.495051,1,1,349,102253,30466,8770654,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799504.495051,1,2,51295,51514,4398870,4417870,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799504.495051,1,3,51473,51315,4414870,4400152,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799504.495051,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799504.495051,3,1,51315,51473,4400152,4414870,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799504.495051,3,2,51724,51067,4436418,4378882,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799505.4950554,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799505.4950554,2,1,394,102279,34768,8772090,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799505.4950554,2,2,51514,51295,4417870,4398870,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799505.4950554,2,3,51067,51724,4378882,4436418,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799505.4950554,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799505.4950554,1,1,349,102253,30466,8770654,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799505.4950554,1,2,51295,51514,4398870,4417870,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799505.4950554,1,3,51473,51315,4414870,4400152,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799505.4950554,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799505.4950554,3,1,51315,51473,4400152,4414870,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799505.4950554,3,2,51724,51067,4436418,4378882,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799506.4950624,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799506.4950624,2,1,404,107403,35652,9211030,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799506.4950624,2,2,54085,53858,4638120,4618380,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799506.4950624,2,3,53631,54303,4598466,4657336,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799506.4950624,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799506.4950624,1,1,358,107380,31264,9209920,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799506.4950624,1,2,53858,54085,4618380,4638120,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799506.4950624,1,3,54042,53888,4634876,4620518,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799506.4950624,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799506.4950624,3,1,53888,54042,4620518,4634876,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799506.4950624,3,2,54303,53631,4657336,4598466,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799507.4950352,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799507.4950352,2,1,404,107403,35652,9211030,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799507.4950352,2,2,54085,53858,4638120,4618380,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799507.4950352,2,3,53631,54303,4598466,4657336,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799507.4950352,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799507.4950352,1,1,358,107380,31264,9209920,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799507.4950352,1,2,53858,54085,4618380,4638120,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799507.4950352,1,3,54042,53888,4634876,4620518,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799507.4950352,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799507.4950352,3,1,53888,54042,4620518,4634876,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799507.4950352,3,2,54303,53631,4657336,4598466,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799508.4950354,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799508.4950354,2,1,416,112597,36732,9655966,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799508.4950354,2,2,56701,56453,4862264,4840682,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799508.4950354,2,3,56221,56923,4820314,4881788,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799508.4950354,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799508.4950354,1,1,367,112579,32050,9655376,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799508.4950354,1,2,56453,56701,4840682,4862264,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799508.4950354,1,3,56655,56485,4858750,4842968,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799508.4950354,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799508.4950354,3,1,56485,56655,4842968,4858750,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799508.4950354,3,2,56923,56221,4881788,4820314,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799509.4950323,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799509.4950323,2,1,416,112597,36732,9655966,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799509.4950323,2,2,56701,56453,4862264,4840682,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799509.4950323,2,3,56221,56923,4820314,4881788,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799509.4950323,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799509.4950323,1,1,367,112579,32050,9655376,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799509.4950323,1,2,56453,56701,4840682,4862264,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799509.4950323,1,3,56655,56485,4858750,4842968,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799509.4950323,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799509.4950323,3,1,56485,56655,4842968,4858750,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799509.4950323,3,2,56923,56221,4881788,4820314,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799510.495057,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799510.495057,2,1,425,117802,37530,10101862,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799510.495057,2,2,59315,59058,5086170,5063826,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799510.495057,2,3,58821,59540,5043010,5105954,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799510.495057,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799510.495057,1,1,377,117785,32934,10101408,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799510.495057,1,2,59058,59315,5063826,5086170,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799510.495057,1,3,59267,59092,5082510,5066282,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799510.495057,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799510.495057,3,1,59092,59267,5066282,5082510,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799510.495057,3,2,59540,58821,5105954,5043010,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799511.4950624,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799511.4950624,2,1,425,117802,37530,10101862,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799511.4950624,2,2,59315,59058,5086170,5063826,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799511.4950624,2,3,58821,59540,5043010,5105954,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799511.4950624,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799511.4950624,1,1,377,117785,32934,10101408,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799511.4950624,1,2,59058,59315,5063826,5086170,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799511.4950624,1,3,59267,59092,5082510,5066282,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799511.4950624,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799511.4950624,3,1,59092,59267,5066282,5082510,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799511.4950624,3,2,59540,58821,5105954,5043010,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799512.4950469,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799512.4950469,2,1,436,122992,38524,10546522,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799512.4950469,2,2,61921,61662,5309374,5286950,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799512.4950469,2,3,61419,62151,5265568,5329636,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799512.4950469,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799512.4950469,1,1,386,122984,33720,10546866,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799512.4950469,1,2,61662,61921,5286950,5309374,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799512.4950469,1,3,61875,61695,5306020,5289238,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799512.4950469,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799512.4950469,3,1,61695,61875,5289238,5306020,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799512.4950469,3,2,62151,61419,5329636,5265568,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799513.4950552,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799513.4950552,2,1,436,122992,38524,10546522,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799513.4950552,2,2,61921,61662,5309374,5286950,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799513.4950552,2,3,61419,62151,5265568,5329636,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799513.4950552,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799513.4950552,1,1,386,122984,33720,10546866,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799513.4950552,1,2,61662,61921,5286950,5309374,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799513.4950552,1,3,61875,61695,5306020,5289238,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799513.4950552,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799513.4950552,3,1,61695,61875,5289238,5306020,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799513.4950552,3,2,62151,61419,5329636,5265568,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799514.4950387,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799514.4950387,2,1,446,128163,39408,10989656,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799514.4950387,2,2,64521,64253,5532186,5508916,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799514.4950387,2,3,64006,64749,5487210,5552302,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799514.4950387,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799514.4950387,1,1,394,128157,34432,10990176,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799514.4950387,1,2,64253,64521,5508916,5532186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799514.4950387,1,3,64468,64286,5528122,5511224,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799514.4950387,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799514.4950387,3,1,64286,64468,5511224,5528122,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799514.4950387,3,2,64749,64006,5552302,5487210,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799515.495046,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799515.495046,2,1,446,128163,39408,10989656,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799515.495046,2,2,64521,64253,5532186,5508916,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799515.495046,2,3,64006,64749,5487210,5552302,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799515.495046,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799515.495046,1,1,394,128157,34432,10990176,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799515.495046,1,2,64253,64521,5508916,5532186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799515.495046,1,3,64468,64286,5528122,5511224,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799515.495046,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799515.495046,3,1,64286,64468,5511224,5528122,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799515.495046,3,2,64749,64006,5552302,5487210,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799516.495045,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799516.495045,2,1,456,133361,40316,11435076,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799516.495045,2,2,67130,66852,5755760,5731658,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799516.495045,2,3,66604,67368,5709758,5776692,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799516.495045,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799516.495045,1,1,403,133360,35218,11436122,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799516.495045,1,2,66852,67130,5731658,5755760,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799516.495045,1,3,67074,66893,5751530,5734614,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799516.495045,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799516.495045,3,1,66893,67074,5734614,5751530,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799516.495045,3,2,67368,66604,5776692,5709758,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799517.4950452,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799517.4950452,2,1,456,133361,40316,11435076,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799517.4950452,2,2,67130,66852,5755760,5731658,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799517.4950452,2,3,66604,67368,5709758,5776692,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799517.4950452,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799517.4950452,1,1,403,133360,35218,11436122,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799517.4950452,1,2,66852,67130,5731658,5755760,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799517.4950452,1,3,67074,66893,5751530,5734614,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799517.4950452,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799517.4950452,3,1,66893,67074,5734614,5751530,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799517.4950452,3,2,67368,66604,5776692,5709758,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799518.4950395,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799518.4950395,2,1,466,138502,41200,11875670,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799518.4950395,2,2,69713,69426,5977074,5952168,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799518.4950395,2,3,69171,69954,5929764,5998360,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799518.4950395,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799518.4950395,1,1,411,138506,35930,11877080,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799518.4950395,1,2,69426,69713,5952168,5977074,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799518.4950395,1,3,69657,69467,5972804,5955154,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799518.4950395,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
